scenario_name,fork_block,dex,input_token,output_token,victim_input_amount,baseline_expected_output,attacked_actual_output,victim_output_loss,financial_loss_percentage,attacker_gas_used,status
Phase 2 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,1.0,3899.684203,3896.536466,3.147737,0.08%,243827,success
Phase 2 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,1.0,3557.934391,3555.191349,2.743042,0.08%,231527,success
Phase 2 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,1.0,2399.238896,2397.720194,1.518702,0.06%,243827,success
Phase 2 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,1.0,3899.684203,3896.536466,3.147737,0.08%,243827,success
Phase 2 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,1.0,3899.684203,3896.536466,3.147737,0.08%,243827,success
Phase 2 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,1.0,3899.684203,3896.536466,3.147737,0.08%,243827,success
Phase 2 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,1.0,3899.684203,3896.536466,3.147737,0.08%,243827,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,1.0,3899.684203,3896.536466,3.147737,0.08%,243827,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,1.0,3899.684203,3896.536466,3.147737,0.08%,243827,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,14,54538.403686,53927.228583,611.175103,1.12%,243851,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,14,54538.403686,53927.228583,611.175103,1.12%,243851,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,14,54538.403686,53927.228583,611.175103,1.12%,243851,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,14,54538.403686,53927.228583,611.175103,1.12%,243851,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,14,54538.403686,53927.228583,611.175103,1.12%,243851,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,14,54538.403686,53927.228583,611.175103,1.12%,243851,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,14,54538.403686,53927.228583,611.175103,1.12%,243851,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54013.908465,524.495221,0.96%,243851,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54013.908465,524.495221,0.96%,243851,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54013.908465,524.495221,0.96%,243851,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54013.908465,524.495221,0.96%,243851,success
 Sandwich Attack,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54013.908465,524.495221,0.96%,243851,success
